"sub_region_2";"fecha";"num_casos.x";"num_casos_prueba_pcr";"num_casos_prueba_desconocida";"num_hosp";"num_uci";"num_def";"retail_and_recreation_percent_change_from_baseline";"grocery_and_pharmacy_percent_change_from_baseline";"parks_percent_change_from_baseline";"transit_stations_percent_change_from_baseline";"workplaces_percent_change_from_baseline";"residential_percent_change_from_baseline";"Total"
"Albacete";2020-03-16;137;132;0;43;3;7;-81;-32;-73;-66;-51;22;9,9
"Albacete";2020-03-17;128;123;0;40;4;2;-84;-41;-74;-72;-56;23;9,705
"Albacete";2020-03-18;114;107;0;24;7;7;-83;-32;-70;-70;-58;23;9,51
"Albacete";2020-03-19;149;133;0;40;5;7;-93;-92;-80;-86;-85;35;9,13
"Albacete";2020-03-20;131;121;0;63;4;6;-87;-34;-74;-76;-68;32;8,75
"Albacete";2020-03-21;129;120;0;60;2;10;-92;-60;-85;-80;-64;27;6,625
"Albacete";2020-03-22;125;112;0;61;8;13;-94;-80;-88;-89;-66;23;4,5
"Albacete";2020-03-23;112;103;0;108;2;16;-85;-46;-77;-76;-61;26;6,76
"Albacete";2020-03-24;107;91;0;76;7;14;-87;-55;-81;-79;-64;28;9,02
"Albacete";2020-03-25;78;64;0;66;9;16;-87;-55;-76;-78;-65;28;8,255
"Albacete";2020-03-26;141;128;0;78;12;16;-87;-55;-77;-77;-66;28;7,49
"Albacete";2020-03-27;64;51;0;106;8;12;-90;-57;-82;-80;-67;34;6,355
"Albacete";2020-03-28;68;58;0;54;8;18;-92;-60;-85;-81;-64;27;5,22
"Albacete";2020-03-29;101;94;0;63;3;12;-94;-82;-87;-90;-64;23;5,85
"Albacete";2020-03-30;109;94;0;99;10;18;-89;-57;-78;-79;-71;29;6,48
"Albacete";2020-03-31;77;65;0;77;7;19;-93;-55;-82;-80;-73;30;6,06
"Albacete";2020-04-01;60;45;0;84;5;18;-93;-57;-78;-79;-73;30;5,84
"Albacete";2020-04-02;61;45;1;59;4;13;-92;-57;-78;-80;-73;31;5,86
"Albacete";2020-04-03;30;20;0;66;3;18;-89;-51;-78;-81;-72;35;6,4
"Albacete";2020-04-04;72;52;0;31;1;26;-92;-61;-85;-82;-66;27;4,83
"Albacete";2020-04-05;48;34;0;34;4;8;-94;-83;-86;-89;-67;23;4,96
"Albacete";2020-04-06;51;36;0;57;1;11;-87;-51;-75;-78;-71;29;8,22
"Albacete";2020-04-07;28;21;0;39;0;6;-86;-41;-76;-78;-71;28;6,99
"Albacete";2020-04-08;41;33;0;32;1;20;-85;-33;-72;-76;-72;27;6,72
"Albacete";2020-04-09;59;40;0;28;1;7;-94;-88;-80;-88;-86;35;6,3
"Albacete";2020-04-10;25;22;0;28;1;6;-97;-95;-86;-92;-88;43;5,15
"Albacete";2020-04-11;14;10;0;22;1;11;-90;-50;-81;-78;-62;26;6,34
"Albacete";2020-04-12;20;15;0;13;4;3;-95;-83;-85;-89;-65;23;5,02
"Albacete";2020-04-13;28;20;0;15;0;11;-94;-90;-78;-86;-83;33;6,04
"Albacete";2020-04-14;25;18;0;23;0;12;-84;-37;-74;-74;-63;25;6,92
"Albacete";2020-04-15;24;16;0;11;1;4;-85;-48;-76;-76;-64;27;6,85
"Albacete";2020-04-16;13;6;0;19;1;6;-86;-51;-73;-76;-64;27;7,36
"Albacete";2020-04-17;8;4;0;12;1;7;-88;-52;-74;-77;-63;32;7,15
"Albacete";2020-04-18;20;16;0;8;0;8;-91;-59;-82;-79;-59;26;4,93
"Albacete";2020-04-19;23;16;0;9;0;9;-95;-82;-86;-89;-64;23;3,43
"Albacete";2020-04-20;20;16;0;11;0;11;-85;-56;-70;-75;-61;26;6,99
"Albacete";2020-04-21;14;10;0;14;0;2;-86;-52;-77;-77;-61;26;7,43
"Albacete";2020-04-22;23;14;0;11;0;3;-86;-52;-71;-74;-62;26;7,64
"Albacete";2020-04-23;9;4;0;10;0;5;-85;-53;-71;-75;-62;26;7,24
"Albacete";2020-04-24;10;8;0;10;0;3;-87;-50;-70;-74;-60;30;7,26
"Albacete";2020-04-25;12;9;0;7;0;8;-90;-56;-79;-77;-57;25;4,91
"Albacete";2020-04-26;24;7;0;9;1;7;-91;-75;-73;-84;-61;22;3,47
"Albacete";2020-04-27;30;20;0;17;0;4;-83;-53;-64;-69;-58;24;7,06
"Albacete";2020-04-28;21;12;0;12;0;3;-83;-48;-62;-72;-59;24;7,51
"Albacete";2020-04-29;16;7;0;15;0;8;-82;-44;-57;-69;-59;24;7,64
"Albacete";2020-04-30;8;6;0;9;0;3;-80;-28;-58;-67;-59;23;8,07
"Albacete";2020-05-01;2;1;0;6;0;0;-93;-91;-67;-86;-83;39;4,83
"Albacete";2020-05-02;7;3;0;4;2;4;-82;-35;-42;-55;-51;21;4,96
"Albacete";2020-05-03;10;5;0;5;0;2;-81;-48;-35;-65;-49;18;4,96
"Albacete";2020-05-04;12;10;0;8;0;3;-73;-36;-26;-54;-53;20;8,77
"Albacete";2020-05-05;12;7;0;4;0;1;-74;-33;-32;-55;-53;19;9,41
"Albacete";2020-05-06;12;6;0;9;0;4;-73;-38;-26;-56;-55;21;9,62
"Albacete";2020-05-07;6;3;0;5;1;2;-73;-34;-34;-57;-53;21;9,06
"Albacete";2020-05-08;7;3;0;4;0;3;-76;-36;-34;-58;-52;24;9,06
"Albacete";2020-05-09;8;5;0;6;0;6;-82;-42;-49;-56;-45;20;5,19
"Albacete";2020-05-10;4;4;0;6;0;3;-85;-61;-56;-73;-49;19;4,33
"Albacete";2020-05-11;2;2;0;0;0;1;-72;-36;-35;-55;-49;19;8,78
"Albacete";2020-05-12;3;3;0;1;0;4;-77;-39;-61;-65;-49;21;8,97
"Albacete";2020-05-13;5;5;0;0;0;2;-71;-34;-28;-54;-49;19;8,82
"Albacete";2020-05-14;4;4;0;2;0;0;-74;-35;-51;-60;-50;23;8,77
"Albacete";2020-05-15;7;7;0;2;0;1;-78;-36;-54;-63;-50;26;8,39
"Albacete";2020-05-16;5;5;0;0;0;2;-80;-38;-52;-56;-42;21;5,66
"Albacete";2020-05-17;1;1;0;0;0;0;-80;-50;-39;-64;-43;17;4,37
"Albacete";2020-05-18;4;4;0;0;0;2;-51;-24;5;-40;-40;13;9,86
"Albacete";2020-05-19;2;2;0;0;0;1;-54;-23;-1;-46;-41;13;10,84
"Albacete";2020-05-20;7;7;0;0;0;0;-52;-22;-1;-45;-42;14;10,68
"Albacete";2020-05-21;5;5;0;0;1;3;-53;-20;-6;-44;-42;14;10,56
"Albacete";2020-05-22;5;4;0;2;0;1;-56;-19;-4;-48;-39;16;10,58
"Albacete";2020-05-23;2;2;0;0;0;2;-62;-27;-15;-44;-24;9;8,99
"Albacete";2020-05-24;6;5;0;1;0;0;-64;-35;-17;-59;-24;7;7,12
"Albacete";2020-05-25;5;5;0;0;0;0;-50;-21;-9;-44;-39;13;11,04
"Albacete";2020-05-26;8;8;0;0;0;0;-51;-21;-8;-48;-37;13;11,13
"Albacete";2020-05-27;6;5;0;0;0;0;-47;-20;5;-43;-38;13;11,36
"Albacete";2020-05-28;5;5;0;2;0;2;-46;-18;4;-41;-37;13;11,65
"Albacete";2020-05-29;7;7;0;0;0;1;-49;-16;3;-44;-35;14;11,93
"Albacete";2020-05-30;7;6;0;3;0;0;-54;-21;-6;-39;-13;7;9,97
"Albacete";2020-05-31;1;1;0;1;0;1;-56;-29;-5;-56;-9;6;7,5
"Albacete";2020-06-01;7;6;0;0;0;1;-34;-11;15;-35;-31;10;11,51
"Albacete";2020-06-02;6;6;0;4;1;2;-37;-12;9;-40;-32;10;12,33
"Albacete";2020-06-03;8;7;0;1;0;0;-32;-10;18;-36;-33;10;11,74
"Albacete";2020-06-04;7;6;0;1;0;0;-40;-13;-26;-41;-34;13;11,6
"Albacete";2020-06-05;4;4;0;0;0;0;-35;-11;10;-36;-28;11;11,99
"Albacete";2020-06-06;1;1;0;0;0;0;-42;-19;1;-35;-8;5;10,84
"Albacete";2020-06-07;0;0;0;0;0;0;-49;-25;-4;-52;-7;5;8,03
"Albacete";2020-06-08;4;3;0;0;0;1;-29;-12;7;-31;-30;9;11,13
"Albacete";2020-06-09;2;2;0;1;0;0;-30;-10;10;-37;-29;8;10,56
"Albacete";2020-06-10;4;4;0;0;0;1;-22;2;22;-32;-29;6;13,48
"Albacete";2020-06-11;0;0;0;0;1;0;-51;-75;25;-53;-61;15;10,87
"Albacete";2020-06-12;3;3;0;0;0;0;-32;5;10;-41;-34;12;11,15
"Albacete";2020-06-13;2;2;0;1;0;1;-38;-15;10;-37;-2;4;10,43
"Albacete";2020-06-14;2;2;0;0;0;0;-44;-20;11;-51;2;2;8,44
"Albacete";2020-06-15;1;1;0;0;0;0;-23;-8;27;-26;-27;7;12,32
"Albacete";2020-06-16;1;1;0;0;0;0;-27;-8;29;-35;-27;7;12,95
"Albacete";2020-06-17;2;2;0;0;0;0;-23;-10;34;-29;-28;7;12,95
"Albacete";2020-06-18;3;3;0;0;0;0;-23;-12;22;-26;-27;8;13,28
"Albacete";2020-06-19;5;5;0;0;0;0;-28;-10;27;-32;-24;8;13,32
"Albacete";2020-06-20;3;3;0;0;0;0;-34;-15;17;-30;2;2;11,27
"Albacete";2020-06-21;1;1;0;0;0;0;-35;-16;20;-42;4;0;12,245
"Albacete";2020-06-22;2;2;0;1;0;0;-13;-6;35;-22;-27;5;13,22
"Albacete";2020-06-23;7;7;0;0;0;0;-12;2;32;-28;-27;2;14,195
"Albacete";2020-06-24;2;2;0;1;0;0;-35;-40;37;-41;-46;7;15,17
"Albacete";2020-06-25;5;5;0;0;0;0;-11;-4;32;-18;-26;4;14,39
"Albacete";2020-06-26;4;4;0;0;0;1;-18;-4;40;-23;-25;4;13,61
"Albacete";2020-06-27;1;1;0;1;0;0;-25;-13;39;-27;-3;-1;12,83
"Albacete";2020-06-28;4;4;0;0;0;2;-22;12;30;-31;9;-5;12,05
"Albacete";2020-06-29;3;3;0;0;0;1;-10;-6;36;-16;-23;3;13,8533333333333
"Albacete";2020-06-30;2;2;0;0;0;0;-13;-7;26;-18;-24;3;15,6566666666667
"Albacete";2020-07-01;3;3;0;0;0;0;-11;-8;32;-18;-26;3;17,46
"Albacete";2020-07-02;6;6;0;1;0;0;-10;-5;33;-10;-26;3;16,0775
"Albacete";2020-07-03;8;8;0;4;0;0;-16;-5;38;-19;-24;2;14,695
"Albacete";2020-07-04;1;1;0;3;0;0;-23;-15;38;-23;0;-2;13,3125
"Albacete";2020-07-05;0;0;0;0;0;0;-19;14;32;-26;7;-5;11,93
"Albacete";2020-07-06;0;0;0;0;1;0;-10;-7;40;-6;-25;1;13,5966666666667
"Albacete";2020-07-07;2;2;0;0;0;0;-14;-8;39;-15;-26;2;15,2633333333333
"Albacete";2020-07-08;0;0;0;0;0;0;-11;-10;32;-15;-25;2;16,93
"Albacete";2020-07-09;2;2;0;2;0;0;-12;-9;29;-13;-26;2;15,555
"Albacete";2020-07-10;3;2;0;0;0;0;-17;-9;43;-19;-23;1;14,18
"Albacete";2020-07-11;2;2;0;1;0;1;-24;-16;39;-24;0;-2;12,805
"Albacete";2020-07-12;1;1;0;1;0;0;-27;-11;21;-29;3;-4;11,43
"Albacete";2020-07-13;5;5;0;1;0;0;-8;-7;50;-10;-25;1;13,21
"Albacete";2020-07-14;13;12;0;2;0;0;-19;-11;18;-24;-27;3;14,99
"Albacete";2020-07-15;3;3;0;0;0;0;-8;-8;45;-20;-24;1;16,77
"Albacete";2020-07-16;7;7;0;4;0;1;-8;-7;48;-18;-25;1;15,4325
"Albacete";2020-07-17;5;5;0;0;0;0;-17;-9;41;-22;-24;2;14,095
"Albacete";2020-07-18;3;3;0;1;0;0;-23;-15;43;-22;0;-3;12,7575
"Albacete";2020-07-19;2;2;0;0;0;0;-26;-7;17;-33;3;-5;11,42
"Albacete";2020-07-20;5;5;0;1;1;0;-10;-6;42;-15;-24;1;13,01
"Albacete";2020-07-21;4;4;0;0;0;0;-16;-9;42;-26;-25;2;14,6
"Albacete";2020-07-22;6;6;0;0;0;0;-13;-9;45;-23;-26;2;16,19
"Albacete";2020-07-23;3;3;0;0;0;0;-12;-8;43;-22;-26;2;14,91
"Albacete";2020-07-24;7;7;0;0;0;0;-19;-8;46;-25;-24;2;13,63
"Albacete";2020-07-25;6;5;0;0;0;0;-26;-17;42;-26;0;-2;12,35
"Albacete";2020-07-26;6;6;0;0;0;0;-23;-6;35;-30;6;-6;11,07
"Albacete";2020-07-27;5;4;0;0;0;0;-12;-6;47;-16;-27;1;12,81
"Albacete";2020-07-28;7;7;0;0;0;0;-17;-7;45;-24;-27;1;14,55
"Albacete";2020-07-29;11;7;0;1;0;0;-13;-8;45;-20;-28;1;16,29
"Albacete";2020-07-30;7;6;0;0;0;0;-12;-4;34;-16;-28;2;14,825
"Albacete";2020-07-31;13;12;0;0;0;0;-15;-7;41;-21;-25;2;13,36
"Albacete";2020-08-01;5;5;0;0;0;0;-19;-12;36;-18;-1;-3;11,895
"Albacete";2020-08-02;8;8;0;0;0;0;-18;0;39;-29;5;-5;10,43
"Albacete";2020-08-03;10;10;0;0;0;0;-4;3;65;-12;-30;1;11,96
"Albacete";2020-08-04;24;24;0;1;0;0;-10;-1;67;-23;-31;1;13,49
"Albacete";2020-08-05;23;22;0;1;1;0;-7;-4;68;-23;-31;1;15,02
"Albacete";2020-08-06;24;23;0;1;0;0;-7;-5;63;-18;-32;2;13,84
"Albacete";2020-08-07;25;25;0;1;0;0;-15;-4;62;-24;-30;2;12,66
"Albacete";2020-08-08;19;19;0;0;0;0;-21;-11;55;-24;-3;-2;11,48
"Albacete";2020-08-09;16;16;0;0;0;0;-15;6;52;-33;7;-5;10,3
"Albacete";2020-08-10;26;26;0;1;0;1;-2;7;76;-14;-34;2;11,7833333333333
"Albacete";2020-08-11;32;31;0;2;0;0;-10;-1;58;-27;-35;3;13,2666666666667
"Albacete";2020-08-12;31;31;0;0;0;0;-4;-1;90;-21;-34;2;14,75
"Albacete";2020-08-13;37;37;0;1;0;0;-3;1;89;-21;-35;2;13,58
"Albacete";2020-08-14;46;46;0;0;0;0;-10;9;78;-24;-33;2;12,41
"Albacete";2020-08-15;40;40;0;0;0;0;-25;-38;71;-29;-17;-1;11,24
"Albacete";2020-08-16;45;44;0;0;0;1;-7;18;70;-28;6;-6;10,07
"Albacete";2020-08-17;63;63;0;2;0;0;3;15;73,5;-11;-35;2;11,52
"Albacete";2020-08-18;48;48;0;0;0;0;-8;-3;77;-26;-36;3;12,97
"Albacete";2020-08-19;46;46;0;0;0;0;-8;1;80,5;-25;-36;3;14,42
"Albacete";2020-08-20;58;58;0;0;0;0;-8;-1;84;-22;-36;4;13,035
"Albacete";2020-08-21;67;67;0;4;1;0;-18;-4;74;-26;-33;5;11,65
"Albacete";2020-08-22;58;58;0;1;0;0;-24;-15;61;-25;-7;0;10,265
"Albacete";2020-08-23;52;52;0;1;0;0;-16;-7,5;54;-30;5;-3;8,88
"Albacete";2020-08-24;71;71;0;1;0;0;-7;0;60,5;-19;-31;4;10,7466666666667
"Albacete";2020-08-25;58;58;0;0;0;0;-11;-2;67;-24;-31;3;12,6133333333333
"Albacete";2020-08-26;67;67;0;1;1;1;-11;-4;62;-26;-31;4;14,48
"Albacete";2020-08-27;75;75;0;1;0;0;-11;-3;57;-23;-31;4;13,465
"Albacete";2020-08-28;75;75;0;2;0;0;-18;-7;57;-29;-30;5;12,45
"Albacete";2020-08-29;57;57;0;0;0;0;-22;-13;50;-32;-7;0;11,435
"Albacete";2020-08-30;63;63;0;0;0;2;-16;-7;45;-29;4;-3;10,42
"Albacete";2020-08-31;78;78;0;2;0;1;-5;-1;44;-14;-30;3;12,3433333333333
"Albacete";2020-09-01;96;96;0;2;0;0;-10;2;43;-22;-26;3;14,2666666666667
"Albacete";2020-09-02;91;91;0;1;0;0;-9;-3;43;-23;-27;4;16,19
"Albacete";2020-09-03;68;68;0;2;1;0;-9;-4;38;-17;-27;3;14,885
"Albacete";2020-09-04;87;87;0;1;0;2;-15;-5;43;-23;-24;3;13,58
"Albacete";2020-09-05;53;53;0;0;0;3;-19;-10;39;-28;-4;-1;12,275
"Albacete";2020-09-06;33;33;0;1;1;1;-18;1,5;33;-30;8;-2;10,97
"Albacete";2020-09-07;60;60;0;0;0;1;-2;13;48;-18;-30;2;12,96
"Albacete";2020-09-08;59;59;0;1;0;0;-26;-37;42;-41;-46;6;14,95
"Albacete";2020-09-09;85;84;0;1;1;0;-3;9;42;-17;-25;3;16,94
"Albacete";2020-09-10;75;75;0;1;1;0;-6;3;42;-13;-25;2;15,5525
"Albacete";2020-09-11;72;72;0;2;0;0;-13;-2;47;-16;-22;1;14,165
"Albacete";2020-09-12;50;50;0;1;0;0;-18;-9;42;-27;-3;-1;12,7775
"Albacete";2020-09-13;55;55;0;0;0;1;-20;2;36;-27;8;-2;11,39
"Albacete";2020-09-14;58;58;0;2;0;1;-5;6;45;-12;-18;1;13,07
"Albacete";2020-09-15;79;79;0;1;0;1;-10;0;39;-16;-18;1;14,75
"Albacete";2020-09-16;100;100;0;1;0;2;-9;-4;34;-15;-19;2;16,43
"Albacete";2020-09-17;58;58;0;1;0;0;-12;-5;24;-14;-20;3;14,955
"Albacete";2020-09-18;73;73;0;2;0;1;-21;-5;6;-21;-18;4;13,48
"Albacete";2020-09-19;74;73;0;1;0;0;-20;-7;25;-31;-4;2;12,005
"Albacete";2020-09-20;45;45;0;0;0;0;-24;0;26;-26;7;0;10,53
"Albacete";2020-09-21;80;80;0;4;1;1;-10;0;35;-4;-17;2;12,4166666666667
"Albacete";2020-09-22;63;63;0;1;0;0;-14;-5;23;-10;-17;3;14,3033333333333
"Albacete";2020-09-23;74;74;0;0;0;0;-16;-2;14;-9;-17;4;16,19
"Albacete";2020-09-24;61;61;0;2;0;2;-17;-4;7;0;-17;4;14,395
"Albacete";2020-09-25;66;66;0;1;0;0;-20;-2;11;-4;-14;3;12,6
"Albacete";2020-09-26;52;52;0;0;0;0;-23;-6;19;-24;-4;2;10,805
"Albacete";2020-09-27;52;52;0;2;0;0;-28;0;15;-16;7;1;9,01
"Albacete";2020-09-28;68;67;0;0;0;2;-14;2;19;2;-11;3;10,8333333333333
"Albacete";2020-09-29;54;54;0;2;0;0;-16;-1;17;-7;-12;3;12,6566666666667
"Albacete";2020-09-30;47;46;0;2;1;1;-15;0;16;-6;-14;3;14,48
"Albacete";2020-10-01;63;61;0;8;2;1;-15;5;8;4;-11;2;13,3975
"Albacete";2020-10-02;54;52;0;7;1;0;-27;-5;-17;-4;-14;5;12,315
"Albacete";2020-10-03;57;54;0;3;0;0;-21;1;3;-18;-6;3;11,2325
"Albacete";2020-10-04;53;53;0;3;0;0;-33;4;-9;-16;2;3;10,15
"Albacete";2020-10-05;74;71;0;6;2;0;-14;9;9;9;-10;2;12,2233333333333
"Albacete";2020-10-06;73;71;0;5;1;0;-15;5;15;1;-10;2;14,2966666666667
"Albacete";2020-10-07;73;69;0;4;2;0;-13;4;21;3;-10;2;16,37
"Albacete";2020-10-08;65;64;0;5;0;1;-11;4;22;13;-11;2;15,205
"Albacete";2020-10-09;96;93;0;11;0;1;-7;14;68;12;-10;1;14,04
"Albacete";2020-10-10;91;88;0;2;0;1;-15;5;60;-13;-5;0;12,875
"Albacete";2020-10-11;49;46;0;5;1;0;-16;31;73;-30;0;1;11,71
"Albacete";2020-10-12;84;82;0;8;4;0;-23;-49;58;-17;-64;9;13,0666666666667
"Albacete";2020-10-13;116;107;0;6;0;0;-16;14;12;1;-9;2;14,4233333333333
"Albacete";2020-10-14;113;99;0;6;0;0;-16;5;3;-5;-9;4;15,78
"Albacete";2020-10-15;101;90;0;2;1;1;-18;2;-2;4;-10;4;14,335
"Albacete";2020-10-16;99;87;0;4;1;0;-21;3;11;0;-7;4;12,89
"Albacete";2020-10-17;91;87;0;6;2;1;-25;-4;8;-22;-7;4;11,445
"Albacete";2020-10-18;103;97;0;1;0;1;-33;1;12;-18;3;3;10
"Albacete";2020-10-19;147;132;0;5;1;0;-18;12;9;4;-6;4;11,74
"Albacete";2020-10-20;155;138;0;8;0;0;-20;6;-5;-6;-7;4;13,48
"Albacete";2020-10-21;173;153;0;2;0;0;-19;4;2;11;-8;5;15,22
"Albacete";2020-10-22;152;126;0;11;4;2;-23;-1;-26;9;-9;6;13,9225
"Albacete";2020-10-23;206;180;0;5;2;0;-21;8;11;13;-6;4;12,625
"Albacete";2020-10-24;126;108;0;11;0;3;-26;-7;7;1;-11;5;11,3275
"Albacete";2020-10-25;122;99;0;8;2;0;-33;8;5;-16;-1;3;10,03
"Albacete";2020-10-26;192;172;0;7;0;1;-20;5;-9;9;-6;5;11,9433333333333
"Albacete";2020-10-27;172;142;0;11;0;0;-20;5;-5;0;-7;5;13,8566666666667
"Albacete";2020-10-28;166;134;0;9;2;1;-19;3;2;1;-8;5;15,77
"Albacete";2020-10-29;149;128;0;9;3;0;-19;6;-1;11;-8;4;14,3225
"Albacete";2020-10-30;168;139;0;10;3;1;-26;7;8;5;-7;5;12,875
"Albacete";2020-10-31;126;101;0;12;1;2;-30;-2;-2;-19;-11;6;11,4275
"Albacete";2020-11-01;124;95;0;11;2;1;-32;17;2;-23;-4;4;9,98
"Albacete";2020-11-02;162;125;0;9;3;5;-21;4;8;10;-7;5;11,78
"Albacete";2020-11-03;177;136;0;12;1;0;-22;3;-1;-8;-8;5;13,58
"Albacete";2020-11-04;196;167;0;10;0;3;-29;-3;-33;-16;-10;9;15,38
"Albacete";2020-11-05;173;148;0;9;1;0;-29;-3;-38;-11;-11;9;13,4625
"Albacete";2020-11-06;170;152;0;11;0;1;-27;5;-11;-6;-8;7;11,545
"Albacete";2020-11-07;103;78;0;12;2;1;-32;-3;-24;-29;-15;9;9,6275
"Albacete";2020-11-08;121;100;0;7;0;0;-40;-5;-5;-25;-9;6;7,71
"Albacete";2020-11-09;136;115;0;14;0;0;-23;2;-3;-3;-6;6;9,77
"Albacete";2020-11-10;154;116;0;15;2;1;-23;1;-7;-11;-7;5;11,83
"Albacete";2020-11-11;170;136;0;14;2;0;-24;1;-7;-8;-9;6;13,89
"Albacete";2020-11-12;128;107;0;9;6;4;-21;3;-2;3;-9;5;12,67
"Albacete";2020-11-13;108;90;0;12;1;2;-27;2;4;-8;-24;9;11,45
"Albacete";2020-11-14;106;92;0;17;2;2;-36;-6;-24;-32;-18;9;10,23
"Albacete";2020-11-15;57;47;0;9;1;2;-42;-3;-2;-21;-12;5;9,01
"Albacete";2020-11-16;109;91;0;9;2;1;-25;1;-3;1;-7;5;11,77
"Albacete";2020-11-17;106;92;0;8;3;2;-25;-1;-2;-10;-7;5;14,53
"Albacete";2020-11-18;85;73;0;2;2;2;-23;0;0;-5;-8;5;17,29
"Albacete";2020-11-19;89;81;0;8;0;3;-24;-2;-5;5;-9;6;15,455
"Albacete";2020-11-20;86;79;0;10;0;2;-28;1;4;1;-8;6;13,62
"Albacete";2020-11-21;75;66;0;8;0;2;-31;-5;-6;-29;-17;7;11,785
"Albacete";2020-11-22;40;33;0;2;1;3;-42;-5;-11;-16;-14;5;9,95
"Albacete";2020-11-23;66;59;0;8;1;4;-24;2;-6;2;-6;5;12,3333333333333
"Albacete";2020-11-24;83;76;0;10;1;1;-24;-1;-8;-11;-6;5;14,7166666666667
"Albacete";2020-11-25;76;67;0;4;1;2;-23;1;-8;-7;-8;5;17,1
"Albacete";2020-11-26;70;64;0;5;2;0;-24;-1;-21;0;-8;6;15,3975
"Albacete";2020-11-27;52;44;0;6;0;3;-31;-1;-39;-13;-9;9;13,695
"Albacete";2020-11-28;60;52;0;8;4;2;-27;2;-22;-20;-15;8;11,9925
"Albacete";2020-11-29;62;57;0;1;1;0;-28;38;-13;-16;-10;5;10,29
"Albacete";2020-11-30;83;68;0;7;2;3;-22;4;-4;0;-5;5;12,55
"Albacete";2020-12-01;76;72;0;7;0;0;-23;2;-13;-11;-6;5;14,81
"Albacete";2020-12-02;81;73;0;5;0;2;-21;3;-15;-6;-7;5;17,07
"Albacete";2020-12-03;72;65;0;3;0;0;-20;5;-17;1;-7;5;15,3425
"Albacete";2020-12-04;102;92;0;8;1;1;-28;5;-28;-3;-7;7;13,615
"Albacete";2020-12-05;62;51;0;7;0;1;-30;-1;-24;-27;-16;8;11,8875
"Albacete";2020-12-06;57;51;0;2;0;2;-28;40;-21;-34;-14;6;10,16
"Albacete";2020-12-07;89;78;0;11;0;4;-10;27;-10;-20;-40;10;12,4966666666667
"Albacete";2020-12-08;85;70;0;4;0;0;-53;-75;-34;-39;-71;19;14,8333333333333
"Albacete";2020-12-09;103;88;0;7;1;0;-17;12;-16;-7;-7;4;17,17
"Albacete";2020-12-10;111;92;0;8;2;1;-21;3;-26;-9;-8;7;15,5325
"Albacete";2020-12-11;127;109;0;11;1;0;-26;3;-22;-14;-7;8;13,895
"Albacete";2020-12-12;101;91;0;9;2;3;-27;-2;-14;-22;-13;7;12,2575
"Albacete";2020-12-13;84;74;0;10;2;3;-27;39;-7;-22;-7;5;10,62
"Albacete";2020-12-14;110;98;0;4;0;0;-19;2;-6;-3;-5;4;12,7766666666667
"Albacete";2020-12-15;126;117;0;13;2;4;-18;3;-12;-12;-5;4;14,9333333333333
"Albacete";2020-12-16;115;110;0;4;4;1;-17;4;-7;-7;-7;5;17,09
"Albacete";2020-12-17;114;98;0;3;0;1;-18;4;-13;-1;-8;5;15,35
"Albacete";2020-12-18;114;102;0;4;0;3;-23;4;-3;-5;-7;6;13,61
"Albacete";2020-12-19;101;91;0;5;2;1;-28;-2;-12;-19;-13;6;11,87
"Albacete";2020-12-20;89;83;0;6;0;1;-23;70;-12;-21;-8;6;10,13
"Albacete";2020-12-21;133;118;0;9;1;0;-9;22;8;4;-10;4;12,0433333333333
"Albacete";2020-12-22;116;103;0;8;4;1;-9;25;-3;3;-15;4;13,9566666666667
"Albacete";2020-12-23;124;101;0;4;2;1;-5;50;14;13;-31;5;15,87
"Albacete";2020-12-24;120;106;0;2;1;0;-21;24;3;-16;-50;10;14,28
"Albacete";2020-12-25;99;87;0;4;1;0;-71;-80;-20;-56;-78;24;12,69
"Albacete";2020-12-26;111;97;0;5;0;1;-35;-5;-5;-22;-25;9;11,1
"Albacete";2020-12-27;179;145;0;12;1;2;-31;46;-4;-21;-15;6;9,51
"Albacete";2020-12-28;179;151;0;11;1;4;-21;19;-10;-14;-39;12;11,0333333333333
"Albacete";2020-12-29;194;150;0;12;0;4;-21;21;-16;-20;-40;11;12,5566666666667
"Albacete";2020-12-30;188;145;0;5;0;0;-13;45;3;-10;-39;9;14,08
"Alicante/Alacant";2020-03-16;215;210;2;38;7;1;-78;-33;-74;-63;-47;21;14,44
"Alicante/Alacant";2020-03-17;198;192;6;39;8;2;-83;-41;-78;-69;-54;24;13,9
"Alicante/Alacant";2020-03-18;177;168;5;48;6;7;-82;-30;-75;-72;-56;23;13,36
"Alicante/Alacant";2020-03-19;192;186;1;71;8;6;-94;-91;-88;-84;-87;36;12,665
"Alicante/Alacant";2020-03-20;220;216;2;92;12;9;-86;-32;-82;-78;-68;31;11,97
"Alicante/Alacant";2020-03-21;152;149;2;104;7;12;-92;-57;-88;-83;-65;27;9,055
"Alicante/Alacant";2020-03-22;151;145;4;92;13;12;-96;-84;-93;-89;-69;23;6,14
"Alicante/Alacant";2020-03-23;152;149;1;124;23;12;-84;-47;-82;-82;-60;26;8,505
"Alicante/Alacant";2020-03-24;116;112;1;134;18;19;-88;-57;-86;-84;-65;28;10,87
"Alicante/Alacant";2020-03-25;120;115;3;118;19;9;-87;-51;-83;-83;-64;28;11,07
"Alicante/Alacant";2020-03-26;110;108;0;119;19;11;-87;-53;-82;-83;-65;29;11,27
"Alicante/Alacant";2020-03-27;105;100;3;126;13;20;-89;-54;-85;-85;-65;32;9,655
