Zonas de movilidad;Periodo;Total
Cádiz;17/6/2020;19,12
Cádiz;16/6/2020;18,68
Cádiz;15/6/2020;18,49
Cádiz;14/6/2020;15,03
Cádiz;13/6/2020;17,20
Cádiz;12/6/2020;17,69
Cádiz;11/6/2020;19,01
Cádiz;10/6/2020;19,29
Cádiz;9/6/2020;16,90
Cádiz;8/6/2020;17,10
Cádiz;7/6/2020;14,14
Cádiz;6/6/2020;17,10
Cádiz;5/6/2020;18,22
Cádiz;4/6/2020;17,36
Cádiz;3/6/2020;17,98
Cádiz;2/6/2020;18,15
Cádiz;1/6/2020;17,13
Cádiz;31/5/2020;12,14
Cádiz;30/5/2020;15,90
Cádiz;29/5/2020;17,56
Cádiz;28/5/2020;17,08
Cádiz;27/5/2020;17,02
Cádiz;26/5/2020;17,04
Cádiz;25/5/2020;16,66
Cádiz;24/5/2020;11,88
Cádiz;23/5/2020;14,06
Cádiz;22/5/2020;16,26
Cádiz;21/5/2020;16,01
Cádiz;20/5/2020;15,96
Cádiz;19/5/2020;15,70
Cádiz;18/5/2020;15,03
Cádiz;17/5/2020;10,74
Cádiz;16/5/2020;11,94
Cádiz;15/5/2020;13,78
Cádiz;14/5/2020;13,39
Cádiz;13/5/2020;14,92
Cádiz;12/5/2020;14,35
Cádiz;11/5/2020;14,02
Cádiz;10/5/2020;6,93
Cádiz;9/5/2020;8,07
Cádiz;8/5/2020;12,83
Cádiz;7/5/2020;12,75
Cádiz;6/5/2020;12,71
Cádiz;5/5/2020;13,03
Cádiz;4/5/2020;12,29
Cádiz;3/5/2020;7,61
Cádiz;2/5/2020;8,27
Cádiz;1/5/2020;7,76
Cádiz;30/4/2020;11,11
Cádiz;29/4/2020;10,93
Cádiz;28/4/2020;10,37
Cádiz;27/4/2020;9,02
Cádiz;26/4/2020;5,42
Cádiz;25/4/2020;6,54
Cádiz;24/4/2020;9,11
Cádiz;23/4/2020;9,07
Cádiz;22/4/2020;9,71
Cádiz;21/4/2020;9,04
Cádiz;20/4/2020;9,68
Cádiz;19/4/2020;5,60
Cádiz;18/4/2020;7,32
Cádiz;17/4/2020;9,44
Cádiz;16/4/2020;10,50
Cádiz;15/4/2020;9,30
Cádiz;14/4/2020;9,41
Cádiz;13/4/2020;9,93
Cádiz;12/4/2020;6,16
Cádiz;11/4/2020;7,48
Cádiz;10/4/2020;6,54
Cádiz;9/4/2020;7,27
Cádiz;8/4/2020;9,01
Cádiz;7/4/2020;9,17
Cádiz;6/4/2020;8,86
Cádiz;5/4/2020;5,90
Cádiz;4/4/2020;6,83
Cádiz;3/4/2020;8,95
Cádiz;2/4/2020;7,73
Cádiz;1/4/2020;7,68
Cádiz;31/3/2020;8,46
Cádiz;30/3/2020;9,26
Cádiz;28/3/2020;7,94
Cádiz;26/3/2020;10,38
Cádiz;24/3/2020;10,07
Cádiz;22/3/2020;5,42
Cádiz;20/3/2020;9,05
Cádiz;18/3/2020;9,50
Cádiz;16/3/2020;10,74
Cádiz;18/11/2019;24,46
Córdoba;30/12/2020;15,54
Córdoba;27/12/2020;11,57
Córdoba;23/12/2020;16,32
Córdoba;20/12/2020;10,38
Córdoba;16/12/2020;16,50
Córdoba;13/12/2020;10,88
Córdoba;9/12/2020;15,35
Córdoba;6/12/2020;8,99
Córdoba;2/12/2020;15,80
Córdoba;29/11/2020;7,95
Córdoba;25/11/2020;15,46
Córdoba;22/11/2020;8,90
Córdoba;18/11/2020;15,64
Córdoba;15/11/2020;8,17
Córdoba;11/11/2020;15,13
Córdoba;8/11/2020;9,16
Córdoba;4/11/2020;15,37
Córdoba;1/11/2020;10,22
Córdoba;28/10/2020;16,78
Córdoba;25/10/2020;10,95
Córdoba;21/10/2020;16,42
Córdoba;18/10/2020;11,69
Córdoba;14/10/2020;17,69
Córdoba;11/10/2020;13,16
Córdoba;7/10/2020;17,87
Córdoba;4/10/2020;11,51
Córdoba;30/9/2020;16,06
Córdoba;27/9/2020;9,76
Córdoba;23/9/2020;17,62
Córdoba;20/9/2020;11,91
Córdoba;16/9/2020;18,85
Córdoba;13/9/2020;12,47
Córdoba;9/9/2020;18,18
Córdoba;6/9/2020;12,51
Córdoba;2/9/2020;17,65
Córdoba;30/8/2020;11,99
Córdoba;26/8/2020;16,36
Córdoba;23/8/2020;10,15
Córdoba;19/8/2020;16,24
Córdoba;16/8/2020;12,03
Córdoba;12/8/2020;15,99
Córdoba;9/8/2020;11,67
Córdoba;5/8/2020;16,27
Córdoba;2/8/2020;12,01
Córdoba;29/7/2020;17,58
Córdoba;26/7/2020;12,17
Córdoba;22/7/2020;17,71
Córdoba;19/7/2020;12,43
Córdoba;15/7/2020;18,60
Córdoba;12/7/2020;12,92
Córdoba;8/7/2020;18,46
Córdoba;5/7/2020;13,30
Córdoba;1/7/2020;18,83
Córdoba;28/6/2020;13,36
Córdoba;24/6/2020;18,44
Córdoba;20/6/2020;15,74
Córdoba;19/6/2020;18,22
Córdoba;18/6/2020;18,23
Córdoba;17/6/2020;17,91
Córdoba;16/6/2020;17,79
Córdoba;15/6/2020;17,60
Córdoba;14/6/2020;13,20
Córdoba;13/6/2020;15,76
Córdoba;12/6/2020;16,84
Córdoba;11/6/2020;18,15
Córdoba;10/6/2020;17,97
Córdoba;9/6/2020;16,29
Córdoba;8/6/2020;16,80
Córdoba;7/6/2020;12,05
Córdoba;6/6/2020;14,67
Córdoba;5/6/2020;16,97
Córdoba;4/6/2020;16,85
Córdoba;3/6/2020;16,91
Córdoba;2/6/2020;16,80
Córdoba;1/6/2020;15,95
Córdoba;31/5/2020;11,75
Córdoba;30/5/2020;14,14
Córdoba;29/5/2020;16,36
Córdoba;28/5/2020;16,55
Córdoba;27/5/2020;16,78
Córdoba;26/5/2020;16,19
Córdoba;25/5/2020;15,83
Córdoba;24/5/2020;11,33
Córdoba;23/5/2020;13,16
Córdoba;22/5/2020;15,41
Córdoba;21/5/2020;15,47
Córdoba;20/5/2020;15,32
Córdoba;19/5/2020;15,46
Córdoba;18/5/2020;14,67
Córdoba;17/5/2020;10,12
Córdoba;16/5/2020;11,74
Córdoba;15/5/2020;14,08
Córdoba;14/5/2020;13,93
Córdoba;13/5/2020;14,33
Córdoba;12/5/2020;13,91
Córdoba;11/5/2020;13,45
Córdoba;10/5/2020;7,00
Córdoba;9/5/2020;8,01
Córdoba;8/5/2020;13,07
Córdoba;7/5/2020;12,95
Córdoba;6/5/2020;13,17
Córdoba;5/5/2020;13,23
Córdoba;4/5/2020;12,51
Córdoba;3/5/2020;7,82
Córdoba;2/5/2020;8,51
Córdoba;1/5/2020;8,04
Córdoba;30/4/2020;11,47
Córdoba;29/4/2020;11,38
Córdoba;28/4/2020;10,77
Córdoba;27/4/2020;9,54
Córdoba;26/4/2020;5,68
Córdoba;25/4/2020;6,95
Córdoba;24/4/2020;10,30
Córdoba;23/4/2020;10,19
Córdoba;22/4/2020;10,27
Córdoba;21/4/2020;9,71
Córdoba;20/4/2020;10,28
Córdoba;19/4/2020;6,02
Córdoba;18/4/2020;7,88
Córdoba;17/4/2020;10,13
Córdoba;16/4/2020;10,64
Córdoba;15/4/2020;9,58
Córdoba;14/4/2020;9,91
Córdoba;13/4/2020;10,60
Córdoba;12/4/2020;6,78
Córdoba;11/4/2020;7,88
Córdoba;10/4/2020;6,57
Córdoba;9/4/2020;7,85
Córdoba;8/4/2020;9,81
Córdoba;7/4/2020;9,72
Córdoba;6/4/2020;9,31
Córdoba;5/4/2020;6,58
Córdoba;4/4/2020;7,50
Córdoba;3/4/2020;9,49
Córdoba;2/4/2020;8,33
Córdoba;1/4/2020;8,42
Córdoba;31/3/2020;8,69
Córdoba;30/3/2020;9,58
Córdoba;28/3/2020;8,26
Córdoba;26/3/2020;10,78
Córdoba;24/3/2020;10,78
Córdoba;22/3/2020;5,70
Córdoba;20/3/2020;10,42
Córdoba;18/3/2020;10,94
Córdoba;16/3/2020;11,87
Córdoba;18/11/2019;22,38
Granada;30/12/2020;18,15
Granada;27/12/2020;14,01
Granada;23/12/2020;19,12
Granada;20/12/2020;13,52
Granada;16/12/2020;19,53
Granada;13/12/2020;13,37
Granada;9/12/2020;17,86
Granada;6/12/2020;9,32
Granada;2/12/2020;17,49
Granada;29/11/2020;8,16
Granada;25/11/2020;16,40
Granada;22/11/2020;8,16
Granada;18/11/2020;15,76
Granada;15/11/2020;7,45
Granada;11/11/2020;15,98
Granada;8/11/2020;8,35
Granada;4/11/2020;16,45
Granada;1/11/2020;8,44
Granada;28/10/2020;16,82
Granada;25/10/2020;12,91
Granada;21/10/2020;17,66
Granada;18/10/2020;12,65
Granada;14/10/2020;18,89
Granada;11/10/2020;15,27
Granada;7/10/2020;19,34
Granada;4/10/2020;13,56
Granada;30/9/2020;17,29
Granada;27/9/2020;12,09
Granada;23/9/2020;19,49
Granada;20/9/2020;13,84
Granada;16/9/2020;19,23
Granada;13/9/2020;13,82
Granada;9/9/2020;18,94
Granada;6/9/2020;13,97
Granada;2/9/2020;17,79
Granada;30/8/2020;13,33
Granada;26/8/2020;17,21
Granada;23/8/2020;11,52
Granada;19/8/2020;17,24
Granada;16/8/2020;13,20
Granada;12/8/2020;17,52
Granada;9/8/2020;13,42
Granada;5/8/2020;13,14
Granada;2/8/2020;9,70
Granada;29/7/2020;13,91
Granada;26/7/2020;11,31
Granada;22/7/2020;18,31
Granada;19/7/2020;14,70
Granada;15/7/2020;20,05
Granada;12/7/2020;14,58
Granada;8/7/2020;19,76
Granada;5/7/2020;15,15
Granada;1/7/2020;20,55
Granada;28/6/2020;15,53
Granada;24/6/2020;19,81
Granada;20/6/2020;17,77
Granada;19/6/2020;19,07
Granada;18/6/2020;19,04
Granada;17/6/2020;18,95
Granada;16/6/2020;18,73
